World Wrestling Entertainment Inc. (NYSE)  Quote History 1999-10-18 - 2023-07-27,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,World Wrestling Entertainment Inc.,,,,,NYSE Composite,,,,
Date,Close,Volume,Open,High,Low,Close,,,,
2023-07-27,105.07,1000189,106.18,106.83,104.50,16288.10,,,,
2023-07-26,105.75,666711,105.35,105.87,104.78,16407.79,,,,
2023-07-25,106.01,821860,106.03,106.31,105.62,16392.31,,,,
2023-07-24,106.42,324788,105.28,106.65,104.70,16358.53,,,,
2023-07-21,105.87,457638,107.77,108.39,104.97,16289.13,,,,
2023-07-20,108.23,475143,105.61,108.34,104.34,16263.71,,,,
2023-07-19,105.90,352865,106.73,107.91,105.70,16230.94,,,,
2023-07-18,106.73,423286,107.32,108.09,105.85,16141.60,,,,
2023-07-17,107.12,859217,107.65,107.99,105.40,16068.78,,,,
2023-07-14,108.03,623825,107.64,109.05,107.32,16041.29,,,,
2023-07-13,107.86,596644,109.16,109.79,107.20,16106.85,,,,
2023-07-12,109.21,1061809,111.50,112.00,108.59,16011.28,,,,
2023-07-11,111.00,772030,109.52,112.22,109.05,15897.31,,,,
2023-07-10,109.00,551714,107.34,109.96,106.85,15736.07,,,,
2023-07-07,107.84,361328,107.29,108.05,107.04,15722.89,,,,
2023-07-06,107.29,541489,108.11,108.28,106.67,15635.27,,,,
2023-07-05,108.45,265853,108.69,108.82,107.27,15835.32,,,,
2023-07-03,108.54,207626,108.17,109.24,107.59,15918.50,,,,
2023-06-30,108.47,346185,108.18,108.87,107.37,15875.91,,,,
2023-06-29,107.87,509614,107.93,108.32,106.29,15716.77,,,,
2023-06-28,108.03,470055,107.22,108.32,106.30,15604.99,,,,
2023-06-27,107.56,1249966,105.48,108.35,104.50,15646.68,,,,
2023-06-26,105.20,1034393,100.85,105.71,100.83,15518.74,,,,
2023-06-23,100.81,433521,101.10,101.61,99.96,,,,,
2023-06-22,101.46,334488,100.83,101.79,100.37,,,,,
2023-06-21,101.31,395700,101.09,101.68,100.34,,,,,
2023-06-20,101.01,512171,102.39,102.68,100.68,,,,,
2023-06-16,102.72,698886,104.04,104.71,101.32,,,,,
2023-06-15,103.42,526530,102.06,103.61,101.25,,,,,
2023-06-14,101.98,503771,101.70,102.97,101.41,15668.54,,,,
2023-06-13,101.44,366583,100.41,102.42,100.41,15662.31,,,,
2023-06-12,100.79,500069,99.00,101.86,98.76,15549.45,,,,
2023-06-09,98.54,1034570,98.02,99.61,97.72,15499.91,,,,
2023-06-08,97.96,994065,99.00,99.76,95.56,15502.64,,,,
2023-06-07,98.71,671982,100.00,100.94,98.21,15460.67,,,,
2023-06-06,99.93,360696,100.08,100.36,99.25,15378.20,,,,
2023-06-05,100.22,429073,101.65,101.81,99.65,15281.64,,,,
2023-06-02,101.65,373915,99.75,102.71,99.75,15345.20,,,,
2023-06-01,99.63,647145,101.94,102.41,99.60,15031.09,,,,
2023-05-31,101.32,703684,101.00,102.20,100.15,14890.23,,,,
2023-05-30,101.13,391861,99.99,102.18,99.99,14994.64,,,,
2023-05-26,100.10,514876,101.90,101.90,99.77,15099.61,,,,
2023-05-25,101.53,479465,101.51,102.58,100.34,14975.97,,,,
2023-05-24,102.13,604902,101.30,103.02,100.71,15022.89,,,,
2023-05-23,101.18,659638,101.08,102.06,100.24,15172.27,,,,
2023-05-22,101.94,805844,101.95,104.27,100.91,15369.85,,,,
2023-05-19,101.64,938811,103.58,103.79,100.01,15311.71,,,,
2023-05-18,103.99,1299941,101.28,104.70,101.28,15343.18,,,,
2023-05-17,100.91,2367728,107.00,107.75,98.93,15314.26,,,,
2023-05-16,108.84,1120026,107.00,109.24,105.54,15129.25,,,,
2023-05-15,107.19,828042,104.55,108.97,104.13,15322.56,,,,
2023-05-12,105.17,429632,104.41,105.81,104.08,15197.88,,,,
2023-05-11,104.71,483718,105.66,105.66,104.36,15263.07,,,,
2023-05-10,105.05,659941,106.25,107.39,104.72,,,,,
2023-05-09,105.78,669758,106.42,108.49,105.75,15368.26,,,,
2023-05-08,106.34,499501,107.25,107.32,106.16,15387.91,,,,
2023-05-05,106.86,999302,106.52,107.81,104.62,15380.87,,,,
2023-05-04,105.44,683815,108.08,109.84,105.37,15146.04,,,,
2023-05-03,108.14,1018668,106.34,108.61,106.20,15233.85,,,,
2023-05-02,105.72,836358,108.14,108.50,105.69,,,,,
2023-05-01,108.47,477341,106.88,108.68,106.88,,,,,
2023-04-28,107.17,822567,106.88,108.03,106.54,,,,,
2023-04-27,105.63,986188,105.76,107.04,105.08,,,,,
2023-04-26,105.94,858640,107.68,108.20,105.92,,,,,
2023-04-25,108.20,800185,108.91,109.18,107.75,,,,,
2023-04-24,109.17,885482,108.68,110.24,108.27,15579.51,,,,
2023-04-21,109.35,1515506,105.88,109.80,105.41,15559.84,,,,
2023-04-20,106.20,979157,105.90,107.10,105.38,15533.65,,,,
2023-04-19,105.88,739617,105.32,105.90,104.65,15657.53,,,,
2023-04-18,105.65,696017,105.36,105.69,104.35,15680.15,,,,
2023-04-17,105.46,946885,104.80,105.52,103.94,15658.57,,,,
2023-04-14,104.69,641162,102.89,104.72,102.23,15601.78,,,,
2023-04-13,103.15,1177751,104.88,104.89,102.13,15648.18,,,,
2023-04-12,102.78,1385652,103.45,103.97,101.82,15498.77,,,,
2023-04-11,102.87,1676172,102.57,103.09,99.45,15563.75,,,,
2023-04-10,102.81,1976470,100.44,103.56,100.28,15403.11,,,,
2023-04-06,100.38,1693406,98.92,101.08,98.22,15379.13,,,,
2023-04-05,98.88,3082848,97.34,99.70,96.52,15350.06,,,,
2023-04-04,97.23,9153641,89.33,97.68,89.00,15352.69,,,,
2023-04-03,89.30,9777572,85.60,90.15,82.81,15482.71,,,,
2023-03-31,91.26,1825275,91.01,92.45,90.80,15375.71,,,,
2023-03-30,90.60,1321317,89.26,92.00,89.26,15200.59,,,,
2023-03-29,89.32,1224200,88.12,90.35,87.61,15123.96,,,,
2023-03-28,87.98,2025886,86.94,92.20,86.69,14949.35,,,,
2023-03-27,87.37,870576,85.17,87.81,85.00,14934.88,,,,
2023-03-24,84.95,392211,84.08,85.15,83.98,14758.57,,,,
2023-03-23,84.35,461701,84.48,86.20,83.90,14693.02,,,,
2023-03-22,84.18,439046,86.26,86.40,84.15,14740.60,,,,
2023-03-21,86.12,491714,85.36,86.15,85.36,14985.95,,,,
2023-03-20,84.79,692133,83.74,85.42,83.36,14777.70,,,,
2023-03-17,83.33,983788,84.55,84.55,82.15,14599.18,,,,
2023-03-16,84.35,771613,82.59,84.88,82.51,14830.98,,,,
2023-03-15,83.56,1473876,81.17,84.11,81.17,14662.55,,,,
2023-03-14,81.76,1781111,80.52,82.34,80.42,14944.74,,,,
2023-03-13,80.16,1157316,80.54,80.92,79.27,14764.38,,,,
2023-03-10,81.15,812506,80.78,81.48,80.60,14894.18,,,,
2023-03-09,81.00,985783,81.71,81.80,80.32,15207.41,,,,
2023-03-08,81.66,993130,81.21,82.39,80.46,15384.30,,,,
2023-03-07,81.37,381666,81.88,82.46,81.26,15450.79,,,,
2023-03-06,81.79,656134,83.56,83.57,81.79,15679.75,,,,
2023-03-03,83.58,615717,83.48,84.12,83.21,15721.07,,,,
2023-03-02,83.55,454738,82.96,84.07,82.46,15524.52,,,,
2023-03-01,83.67,850521,84.11,84.84,83.55,15436.30,,,,
2023-02-28,84.00,1010374,86.00,86.31,83.94,15460.16,,,,
2023-02-27,86.01,658794,85.48,86.53,85.01,15492.93,,,,
2023-02-24,85.79,700311,85.32,86.61,85.00,15468.21,,,,
2023-02-23,86.52,524408,85.19,86.53,85.07,15594.11,,,,
2023-02-22,85.07,693747,86.13,87.26,85.05,15507.16,,,,
2023-02-21,86.44,819085,87.46,88.40,85.88,15598.39,,,,
2023-02-17,87.98,3005363,87.41,91.48,87.14,15840.16,,,,
2023-02-16,87.17,589236,87.10,87.65,86.44,15957.55,,,,
2023-02-15,87.41,272177,87.29,87.61,86.91,15978.54,,,,
2023-02-14,87.29,622442,86.99,87.87,86.62,16048.62,,,,
2023-02-13,87.49,387394,87.86,88.19,87.31,16046.47,,,,
2023-02-10,87.84,367636,88.09,89.04,87.60,15910.70,,,,
2023-02-09,88.50,577285,89.59,89.65,87.53,15828.60,,,,
2023-02-08,89.15,357328,90.42,91.00,89.08,15939.65,,,,
2023-02-07,90.42,518421,90.37,90.54,88.71,15968.40,,,,
2023-02-06,90.55,778351,89.23,90.56,88.11,15895.36,,,,
2023-02-03,89.72,1971742,86.00,90.68,86.00,,,,,
2023-02-02,85.31,1142452,86.38,86.38,84.40,16080.45,,,,
2023-02-01,86.20,701944,84.45,86.71,84.02,16106.29,,,,
2023-01-31,84.62,665872,84.75,85.53,83.92,16036.52,,,,
2023-01-30,84.95,634625,84.41,85.67,84.20,15818.91,,,,
2023-01-27,84.63,541996,85.40,86.25,84.51,15962.25,,,,
2023-01-26,85.79,501779,86.35,87.04,85.67,15985.87,,,,
2023-01-25,86.77,526768,87.30,88.06,86.48,15889.27,,,,
2023-01-24,87.12,584443,88.00,88.56,87.09,15885.23,,,,
2023-01-23,88.40,1109243,88.50,88.84,87.78,15854.86,,,,
2023-01-20,88.69,639975,89.48,90.04,88.38,15744.10,,,,
2023-01-19,88.85,564701,89.00,89.49,88.24,15569.95,,,,
2023-01-18,88.84,681103,89.96,90.38,88.63,15649.13,,,,
2023-01-17,89.66,1612709,90.99,91.06,87.90,15883.55,,,,
2023-01-13,89.40,1386104,89.17,90.61,87.77,15894.73,,,,
2023-01-12,89.34,2323993,89.51,90.39,88.01,15849.13,,,,
2023-01-11,89.50,3194147,92.50,93.63,87.65,15732.38,,,,
2023-01-10,90.24,1479011,88.72,90.76,87.76,15608.17,,,,
2023-01-09,87.82,3400349,84.40,89.50,83.49,15529.40,,,,
