"date","event","rating","viewers","year","month","show"
2023-07-24,"WWE RAW #1574",0,1818000,2023,7,"raw"
2023-07-17,"WWE RAW #1573",0,1860000,2023,7,"raw"
2023-07-10,"WWE RAW #1572",0,1809000,2023,7,"raw"
2023-07-03,"WWE RAW #1571",0,1828000,2023,7,"raw"
2023-06-26,"WWE RAW #1570",0,1973000,2023,6,"raw"
2023-06-19,"WWE RAW #1569",0,1821000,2023,6,"raw"
2023-06-12,"WWE RAW #1568",0,1595000,2023,6,"raw"
2023-06-05,"WWE RAW #1567",0,1828000,2023,6,"raw"
2023-05-29,"WWE RAW #1566",0,1611000,2023,5,"raw"
2023-05-22,"WWE RAW #1565",0,1638000,2023,5,"raw"
2023-05-15,"WWE RAW #1564",0,1716000,2023,5,"raw"
2023-05-08,"WWE RAW #1563",0,1785000,2023,5,"raw"
2023-05-01,"WWE RAW #1562 - Draft Night 2",0,1778000,2023,5,"raw"
2023-04-24,"WWE RAW #1561",0,1815000,2023,4,"raw"
2023-04-17,"WWE RAW #1560",0,1815000,2023,4,"raw"
2023-04-10,"WWE RAW #1559",0,1818000,2023,4,"raw"
2023-04-03,"WWE RAW #1558",0,2260000,2023,4,"raw"
2023-03-27,"WWE RAW #1557 - WrestleMania RAW",0,1843000,2023,3,"raw"
2023-03-20,"WWE RAW #1556",0,1771000,2023,3,"raw"
2023-03-13,"WWE RAW #1555",0,1705000,2023,3,"raw"
2023-03-06,"WWE RAW #1554",0,1827000,2023,3,"raw"
2023-02-27,"WWE RAW #1553",0,1768000,2023,2,"raw"
2023-02-20,"WWE RAW #1552",0,2006000,2023,2,"raw"
2023-02-13,"WWE RAW #1551",0,1812000,2023,2,"raw"
2023-02-06,"WWE RAW #1550",0,1866000,2023,2,"raw"
2023-01-30,"WWE RAW #1549",0,2114000,2023,1,"raw"
2023-01-23,"WWE RAW #1548 - RAW is XXX",0,2344000,2023,1,"raw"
2023-01-16,"WWE RAW #1547",0,1489000,2023,1,"raw"
2023-01-09,"WWE RAW #1546",0,1693000,2023,1,"raw"
